,Address
0,"KFC Restaurant 2154, Desh Bandhu Gupta Road, Near Paharganj Police Station Front of Bank of Baroda, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055"
1,"Delhi ISBT DMRC,ISBT DMRC Railway Station. Kashmere Gate, Delhi- 110006"
2,"Shop No - B1, B Block Middle circle , Connaught Place New Delhi 110001"
3,"382, NEAR FATEH PUR, CHANDNI CHOWK,110006"
4,"5888, 28UA, Jawahar Nagar, Kamla Nagar, Delhi, 110007"
5,"Commercial Site,New Delhi Railway Station,DMRC, New Delhi - 110006"
6,"Unit No 07, Kashmiri Gate Metro Delhi New Delhi Delhi India 110006"
7,"1215, Main Chandni Chowk Road, Opposite New Katra, Chandni Chowk, New Delhi"
8,"379, Near Kucha Ghasi Ram, Chandni Chowk, New Delhi"
9,"1830-1831, Gf, Laxmi Narain Street, Chuna Mandi, Paharganj, Delhi, New Delhi, Delhi-110055"
10,"1104, Maliwara Jogiwari, Gali Paranthe Wali"
11,"Shop 3939, Urdu Bazar N Jagart Cinema, Delhi opposite Mother Diary, Delhi. 110006"
12,"32, UB, Jawahar Nagar, Bangla Road, Kamla Nagar, New Delhi"
13,"1490-91,Kashmiri Gate,near Ritz Cinema,Delhi - 110006"
14,"3557 MAIN ROAD MORI GATE , District - Central, STATE - Delhi"
15,"HOUSE NO 16/2,16/1 TO 16/4 FLOOR GROUND (MUNICIPAL NO- 11290-91/XIV) NEW ROHTAK ROAD, KAROL BAGH, KAROL BAGH, Central, Delhi, 110005"
16,"251 ,Chandani Chowk ,Delhi ,Kotwali Central ( Delhi) 110006"
17,"3627, First Floor, Golcha Cinema Corner, Daryaganj, New Delhi"
18,"2614, CHOORIWALAN, JAMA MASJID, DELHI-06-KOTWALI DELHI-110002"
19,"GANDHI MARKET, MINTO ROAD,SHOP NO30"
20,"Wow Momo, Bay-5 , Ground Floor, Eldeco Junction, Kashmiri Gate Metro, New Delhi -110006"
21,"5187, Ballimaran, Chandni Chowk, New Delhi"
22,"2185,SHANKER STREET,ASAFALIROAD,KOTWALI,CENTRAL(DELHI)-110006"
23,"9UB, Bungalow Road, Jawahar Nagar, Kamla Nagar, New Delhi"
24,"PD 01 , CONCOURSE LEVEL NEAR GATE NO 04,LALQUILA METRO STATION,NEW DELHI,110006"
